Episode;Steps;TotalReward;Epsilon
107;158;183,43;0,9285
108;48;205,83;0,9278
109;600;-233,00;0,9272
110;75;212,46;0,9265
111;600;-219,00;0,9259
112;600;-219,05;0,9252
113;2;199,94;0,9246
114;7;-201,56;0,9239
115;600;-229,90;0,9233
116;600;-224,35;0,9226
117;14;216,47;0,9220
118;600;-225,20;0,9213
119;600;-223,05;0,9207
120;155;186,71;0,9200
121;600;-215,35;0,9194
122;246;130,90;0,9188
123;26;223,15;0,9181
124;600;-242,70;0,9175
125;338;117,63;0,9168
126;42;222,14;0,9162
127;6;-202,55;0,9155
128;554;37,52;0,9149
129;4;-202,43;0,9143
130;5;-202,94;0,9136
131;303;155,48;0,9130
132;20;220,06;0,9123
133;309;115,77;0,9117
134;600;-217,95;0,9111
135;83;216,48;0,9104
136;19;219,67;0,9098
137;17;217,34;0,9092
138;37;225,19;0,9085
139;34;210,52;0,9079
140;488;71,13;0,9073
141;34;224,22;0,9066
142;153;215,43;0,9060
143;4;-202,43;0,9053
144;73;200,73;0,9047
145;600;-201,40;0,9041
146;507;98,64;0,9034
147;600;-190,70;0,9028
148;308;105,88;0,9022
149;40;208,36;0,9016
150;199;190,47;0,9009
151;221;159,50;0,9003
152;600;-204,80;0,8997
153;510;61,46;0,8990
154;400;108,66;0,8984
155;12;-203,81;0,8978
156;600;-176,50;0,8971
157;600;-220,10;0,8965
158;171;171,35;0,8959
159;600;-261,05;0,8953
160;4;-202,43;0,8946
161;600;-203,95;0,8940
162;83;211,43;0,8934
163;600;-185,90;0,8928
164;348;113,43;0,8921
165;4;-202,43;0,8915
166;227;146,29;0,8909
167;25;222,61;0,8903
168;600;-187,55;0,8896
169;600;-209,60;0,8890
170;2;-200,06;0,8884
171;600;-222,85;0,8878
172;600;-202,70;0,8871
173;600;-199,45;0,8865
174;2;-200,06;0,8859
175;205;169,76;0,8853
176;543;59,43;0,8847
177;47;223,74;0,8840
178;278;144,73;0,8834
179;42;218,59;0,8828
180;250;153,06;0,8822
181;275;127,51;0,8816
182;11;-204,20;0,8810
183;153;203,53;0,8803
184;600;-218,50;0,8797
185;205;190,16;0,8791
186;66;224,70;0,8785
187;4;-202,43;0,8779
188;321;138,95;0,8773
189;600;-182,25;0,8767
190;73;197,98;0,8760
191;181;195,70;0,8754
192;600;-192,75;0,8748
193;546;51,05;0,8742
194;160;190,26;0,8736
195;600;-199,80;0,8730
196;257;151,64;0,8724
197;600;-202,45;0,8718
198;600;-196,15;0,8711
199;398;117,68;0,8705
200;540;27,71;0,8699
201;600;-217,05;0,8693
202;600;-169,05;0,8687
203;500;41,31;0,8681
204;4;-202,43;0,8675
205;600;-220,20;0,8669
206;600;-211,35;0,8663
207;2;-200,06;0,8657
208;87;200,04;0,8651
209;417;85,49;0,8645
210;4;-202,43;0,8639
211;73;219,18;0,8632
212;4;-202,43;0,8626
213;13;222,63;0,8620
214;600;-221,35;0,8614
215;219;181,77;0,8608
216;4;-202,43;0,8602
217;600;-194,55;0,8596
218;600;-201,05;0,8590
219;600;-221,40;0,8584
220;96;213,95;0,8578
221;600;-201,25;0,8572
222;600;-208,75;0,8566
223;600;-240,00;0,8560
224;2;-200,06;0,8554
225;77;208,79;0,8548
226;600;-207,10;0,8542
227;85;207,96;0,8536
228;255;168,91;0,8530
229;417;60,64;0,8524
230;600;-204,70;0,8518
231;58;224,33;0,8512
232;304;158,47;0,8506
233;37;223,74;0,8501
234;240;168,56;0,8495
235;69;231,97;0,8489
236;7;218,84;0,8483
237;600;-164,20;0,8477
238;433;105,53;0,8471
239;382;99,24;0,8465
240;65;213,21;0,8459
241;221;176,75;0,8453
242;600;-205,40;0,8447
243;600;-207,10;0,8441
244;600;-195,55;0,8435
245;600;-230,00;0,8429
246;123;193,58;0,8424
247;600;-193,20;0,8418
248;600;-214,85;0,8412
249;53;221,48;0,8406
250;18;214,28;0,8400
251;36;226,65;0,8394
252;152;187,89;0,8388
253;600;-196,65;0,8382
254;600;-208,15;0,8376
255;93;200,98;0,8371
256;103;206,68;0,8365
257;86;211,15;0,8359
258;149;199,87;0,8353
259;600;-199,65;0,8347
260;6;-202,55;0,8341
261;262;164,19;0,8335
262;600;-186,65;0,8330
263;75;220,86;0,8324
264;600;-218,30;0,8318
265;441;109,20;0,8312
266;64;226,62;0,8306
267;600;-190,50;0,8301
268;78;202,48;0,8295
269;600;-196,00;0,8289
270;600;-194,95;0,8283
271;103;220,53;0,8277
272;44;214,17;0,8272
273;5;-202,94;0,8266
274;117;221,19;0,8260
275;452;88,64;0,8254
276;600;-180,85;0,8248
277;355;138,51;0,8243
278;600;-215,90;0,8237
279;234;173,12;0,8231
280;600;-189,90;0,8225
281;600;-190,75;0,8220
282;4;-202,43;0,8214
283;4;-202,43;0,8208
284;200;188,66;0,8202
285;14;216,62;0,8197
286;4;-202,43;0,8191
287;600;-207,50;0,8185
288;2;199,39;0,8179
289;536;41,10;0,8174
290;212;202,19;0,8168
291;22;232,24;0,8162
292;399;148,72;0,8156
293;600;-183,10;0,8151
294;600;-185,15;0,8145
295;6;-202,55;0,8139
296;600;-183,05;0,8134
297;10;218,41;0,8128
298;16;217,40;0,8122
299;102;226,99;0,8117
300;600;-183,50;0,8111
301;600;-111,85;0,8105
302;600;-217,95;0,8100
303;600;-7,90;0,8094
304;600;-100,95;0,8088
305;600;78,90;0,8083
306;600;-11,10;0,8077
307;4;-202,43;0,8071
308;9;-203,18;0,8066
309;6;-202,55;0,8060
310;600;-136,40;0,8054
311;260;176,36;0,8049
312;600;-222,40;0,8043
313;600;-22,00;0,8037
314;4;-202,43;0,8032
315;600;-137,35;0,8026
316;600;-217,30;0,8021
317;600;-25,10;0,8015
318;6;-203,45;0,8009
319;600;62,85;0,8004
320;600;-224,80;0,7998
321;172;211,44;0,7993
322;600;-122,20;0,7987
323;304;126,42;0,7981
324;600;43,35;0,7976
325;600;-130,65;0,7970
326;600;-118,40;0,7965
327;600;4,95;0,7959
328;600;18,25;0,7953
329;210;183,56;0,7948
330;600;42,30;0,7942
331;600;-62,40;0,7937
332;264;167,72;0,7931
333;600;-69,30;0,7926
334;600;-19,30;0,7920
335;600;-72,05;0,7915
336;600;-171,80;0,7909
337;600;-8,95;0,7903
338;600;-145,85;0,7898
339;2;-200,06;0,7892
340;600;81,65;0,7887
341;600;-11,20;0,7881
342;6;-202,55;0,7876
343;600;-49,30;0,7870
344;600;-172,65;0,7865
345;2;-200,06;0,7859
346;600;30,60;0,7854
347;597;170,94;0,7848
348;600;30,75;0,7843
349;600;-134,55;0,7837
350;4;-202,43;0,7832
351;600;-17,40;0,7826
352;4;-202,43;0,7821
353;600;-117,85;0,7815
354;600;-114,70;0,7810
355;600;53,85;0,7804
356;600;-73,80;0,7799
357;600;-82,35;0,7794
358;4;-202,43;0,7788
359;600;110,30;0,7783
360;600;-54,80;0,7777
361;600;-43,60;0,7772
362;4;-202,43;0,7766
363;600;-60,60;0,7761
364;600;-17,20;0,7755
365;600;-221,45;0,7750
366;370;182,66;0,7745
367;600;-2,55;0,7739
368;600;-146,70;0,7734
369;600;-79,35;0,7728
370;103;249,48;0,7723
371;600;-38,65;0,7718
372;600;-209,15;0,7712
373;600;11,65;0,7707
374;600;-19,70;0,7701
375;600;-68,20;0,7696
376;600;-64,45;0,7691
377;394;271,92;0,7685
378;4;-202,43;0,7680
379;600;-31,05;0,7674
380;6;-202,55;0,7669
381;600;-23,05;0,7664
382;600;-45,35;0,7658
383;600;-94,60;0,7653
384;600;-21,25;0,7648
385;188;194,38;0,7642
386;246;167,95;0,7637
387;600;136,90;0,7632
388;2;-200,06;0,7626
389;600;48,00;0,7621
390;600;-50,95;0,7616
391;600;-41,00;0,7610
392;600;-138,10;0,7605
393;600;38,05;0,7600
394;600;-188,55;0,7594
395;600;45,25;0,7589
396;600;-45,05;0,7584
397;600;33,20;0,7578
398;600;50,95;0,7573
399;600;-126,00;0,7568
400;600;-2,75;0,7562
401;317;213,74;0,7557
402;8;-203,57;0,7552
403;600;-74,65;0,7547
404;600;-41,30;0,7541
405;600;-177,60;0,7536
406;600;-170,35;0,7531
407;600;-45,25;0,7525
408;179;170,52;0,7520
409;600;-37,70;0,7515
410;4;-202,43;0,7510
411;4;-202,43;0,7504
412;600;-20,55;0,7499
413;600;-5,85;0,7494
414;600;-210,85;0,7489
415;600;-75,10;0,7483
416;600;-42,90;0,7478
417;600;83,75;0,7473
418;600;-30,50;0,7468
419;600;15,40;0,7462
420;600;-199,50;0,7457
421;600;-137,20;0,7452
422;600;-37,00;0,7447
423;126;214,60;0,7442
424;600;-57,15;0,7436
425;600;121,55;0,7431
426;228;182,53;0,7426
427;600;-72,50;0,7421
428;14;-205,83;0,7416
429;466;145,40;0,7410
430;5;-202,94;0,7405
431;600;62,75;0,7400
432;600;5,55;0,7395
433;600;-50,05;0,7390
434;600;20,05;0,7384
435;4;-202,43;0,7379
436;600;59,40;0,7374
437;600;-7,00;0,7369
438;600;-18,10;0,7364
439;600;-78,65;0,7359
440;2;-200,06;0,7354
441;600;105,45;0,7348
442;600;-171,90;0,7343
443;600;121,95;0,7338
444;252;175,24;0,7333
445;600;-68,90;0,7328
446;148;204,38;0,7323
447;4;-202,43;0,7318
448;171;206,80;0,7312
449;600;47,25;0,7307
450;72;260,79;0,7302
451;222;216,54;0,7297
452;600;-44,20;0,7292
453;2;199,94;0,7287
454;600;-74,45;0,7282
455;600;-73,50;0,7277
456;600;-128,10;0,7272
457;600;-1,75;0,7266
458;600;-60,45;0,7261
459;106;211,90;0,7256
460;600;2,25;0,7251
461;600;32,15;0,7246
462;600;173,70;0,7241
463;600;-91,15;0,7236
464;600;40,00;0,7231
465;600;99,40;0,7226
466;600;14,00;0,7221
467;600;-77,45;0,7216
468;600;79,70;0,7211
469;600;260,70;0,7206
470;600;-186,25;0,7201
471;600;-15,80;0,7196
472;600;11,25;0,7191
473;146;256,60;0,7186
474;600;-23,00;0,7181
475;600;30,25;0,7175
476;212;271,44;0,7170
477;600;10,70;0,7165
478;600;-4,55;0,7160
479;498;267,98;0,7155
480;4;-202,43;0,7150
481;600;45,15;0,7145
482;600;77,00;0,7140
483;7;-203,06;0,7135
484;4;-202,43;0,7130
485;600;-29,95;0,7125
486;600;49,40;0,7120
487;4;-202,43;0,7115
488;600;144,55;0,7110
489;600;-63,75;0,7105
490;600;35,30;0,7101
491;600;-6,25;0,7096
492;5;-202,94;0,7091
493;176;272,95;0,7086
494;204;205,22;0,7081
495;94;231,12;0,7076
496;600;16,40;0,7071
497;600;-65,90;0,7066
498;600;-13,95;0,7061
499;600;-48,95;0,7056
500;600;61,55;0,7051
501;600;150,40;0,7046
502;4;-202,43;0,7041
503;378;187,88;0,7036
504;600;16,75;0,7031
505;600;69,45;0,7026
506;600;14,50;0,7021
507;600;131,40;0,7016
508;78;239,78;0,7012
509;600;103,45;0,7007
510;600;184,65;0,7002
511;600;9,65;0,6997
512;4;-202,43;0,6992
513;600;6,40;0,6987
514;600;110,00;0,6982
515;122;252,44;0,6977
516;164;283,02;0,6972
517;4;-202,43;0,6968
518;600;-31,70;0,6963
519;600;-33,70;0,6958
520;600;15,10;0,6953
521;536;184,50;0,6948
522;600;122,35;0,6943
523;600;141,50;0,6938
524;332;185,64;0,6933
525;600;-27,05;0,6929
526;600;15,25;0,6924
527;600;37,35;0,6919
528;106;286,50;0,6914
529;600;52,50;0,6909
530;4;-202,43;0,6904
531;600;32,10;0,6900
532;600;61,10;0,6895
533;600;-113,20;0,6890
534;600;8,30;0,6885
535;600;49,15;0,6880
536;7;-203,06;0,6875
537;528;113,08;0,6871
538;600;-5,65;0,6866
539;7;-203,06;0,6861
540;600;76,90;0,6856
541;600;-43,50;0,6851
542;600;11,15;0,6847
543;62;216,54;0,6842
544;600;-14,85;0,6837
545;600;39,70;0,6832
546;600;-112,95;0,6827
547;268;229,23;0,6823
548;600;94,90;0,6818
549;4;-202,43;0,6813
550;149;251,92;0,6808
551;600;52,15;0,6804
552;600;-42,05;0,6799
553;600;27,10;0,6794
554;600;45,20;0,6789
555;600;-60,85;0,6785
556;4;-202,43;0,6780
557;600;27,35;0,6775
558;600;33,15;0,6770
559;600;-8,30;0,6766
560;600;44,10;0,6761
561;600;109,50;0,6756
562;600;151,85;0,6751
563;4;-202,43;0,6747
564;600;89,25;0,6742
565;363;120,28;0,6737
566;600;-4,90;0,6733
567;600;-41,10;0,6728
568;600;19,65;0,6723
569;600;69,15;0,6718
570;600;-161,60;0,6714
571;600;-162,55;0,6709
572;600;-12,00;0,6704
573;2;-200,06;0,6700
574;209;250,37;0,6695
575;600;219,10;0,6690
576;600;5,85;0,6686
577;600;-69,90;0,6681
578;74;254,22;0,6676
579;600;-51,85;0,6672
580;600;-78,50;0,6667
581;600;15,10;0,6662
582;5;-202,94;0,6658
583;600;-68,60;0,6653
584;600;51,05;0,6648
585;600;-92,20;0,6644
586;600;-56,45;0,6639
587;600;64,60;0,6634
588;600;295,00;0,6630
589;4;-202,43;0,6625
590;372;330,19;0,6620
591;470;247,86;0,6616
592;104;222,12;0,6611
593;600;-68,10;0,6606
594;600;144,40;0,6602
595;600;124,15;0,6597
596;600;50,10;0,6593
597;600;144,30;0,6588
598;8;-203,57;0,6583
599;600;39,20;0,6579
600;125;252,26;0,6574
601;600;81,40;0,6570
602;600;43,80;0,6565
603;600;114,95;0,6560
604;600;160,30;0,6556
605;600;46,15;0,6551
606;138;200,23;0,6547
607;585;272,66;0,6542
608;140;255,21;0,6537
609;580;149,66;0,6533
610;600;85,50;0,6528
611;600;102,10;0,6524
612;86;233,15;0,6519
613;4;-202,43;0,6515
614;600;61,70;0,6510
615;78;256,93;0,6505
616;600;45,05;0,6501
617;600;95,20;0,6496
618;600;11,15;0,6492
619;600;98,60;0,6487
620;600;79,10;0,6483
621;201;261,30;0,6478
622;60;225,76;0,6474
623;136;266,10;0,6469
624;600;159,25;0,6465
625;4;-202,43;0,6460
626;133;219,78;0,6456
627;600;44,45;0,6451
628;600;16,10;0,6446
629;600;142,70;0,6442
630;600;-68,00;0,6437
631;94;219,42;0,6433
632;6;-202,55;0,6428
633;146;271,10;0,6424
634;4;-202,43;0,6419
635;600;33,75;0,6415
636;2;-200,06;0,6410
637;600;-38,65;0,6406
638;600;236,50;0,6401
639;600;-63,75;0,6397
640;600;33,85;0,6393
641;7;-203,06;0,6388
642;600;17,25;0,6384
643;170;194,86;0,6379
644;600;88,90;0,6375
645;600;72,40;0,6370
646;600;115,70;0,6366
647;600;222,45;0,6361
648;600;-33,75;0,6357
649;600;130,65;0,6352
650;600;-25,20;0,6348
651;529;292,22;0,6343
652;600;10,20;0,6339
653;600;227,25;0,6335
654;600;-19,80;0,6330
655;600;73,95;0,6326
656;600;-11,75;0,6321
657;600;122,80;0,6317
658;7;-203,06;0,6312
659;600;40,95;0,6308
660;2;-200,06;0,6304
661;600;222,80;0,6299
662;171;191,20;0,6295
663;600;46,70;0,6290
664;600;-93,10;0,6286
665;600;132,05;0,6282
666;600;170,70;0,6277
667;600;38,40;0,6273
668;600;91,15;0,6268
669;600;-14,60;0,6264
670;600;37,25;0,6260
671;600;169,50;0,6255
672;600;149,05;0,6251
673;600;61,50;0,6247
674;600;-41,15;0,6242
675;6;-202,55;0,6238
676;600;67,50;0,6233
677;600;152,40;0,6229
678;600;24,65;0,6225
679;600;75,25;0,6220
680;600;122,60;0,6216
681;600;181,10;0,6212
682;600;222,05;0,6207
683;600;153,40;0,6203
684;600;140,75;0,6199
685;600;71,60;0,6194
686;600;54,30;0,6190
687;600;302,65;0,6186
688;4;-202,43;0,6181
689;600;134,80;0,6177
690;600;102,35;0,6173
691;2;-200,06;0,6168
692;600;53,05;0,6164
693;600;19,35;0,6160
694;600;-22,90;0,6155
695;344;339,02;0,6151
696;600;109,85;0,6147
697;600;50,20;0,6142
698;80;231,66;0,6138
699;600;199,75;0,6134
700;600;49,85;0,6130
701;66;217,80;0,6125
702;600;75,15;0,6121
703;600;102,70;0,6117
704;340;343,36;0,6112
705;92;244,14;0,6108
706;600;21,65;0,6104
707;600;87,65;0,6100
708;600;41,40;0,6095
709;600;-59,45;0,6091
710;600;0,70;0,6087
711;84;234,72;0,6082
712;472;291,84;0,6078
713;600;168,95;0,6074
714;600;-1,75;0,6070
715;380;408,76;0,6065
716;83;249,08;0,6061
717;330;339,01;0,6057
718;600;242,35;0,6053
719;600;187,90;0,6049
720;9;-204,08;0,6044
721;600;144,45;0,6040
722;600;167,70;0,6036
723;600;129,40;0,6032
724;600;162,00;0,6027
725;108;246,28;0,6023
726;6;-202,55;0,6019
727;600;140,10;0,6015
728;4;-202,43;0,6011
729;600;199,95;0,6006
730;600;166,35;0,6002
731;600;1,70;0,5998
732;600;-2,75;0,5994
733;2;-200,06;0,5990
734;4;-202,43;0,5985
735;600;-77,90;0,5981
736;8;-202,67;0,5977
737;600;-25,30;0,5973
738;272;222,74;0,5969
739;600;54,90;0,5964
740;2;197,89;0,5960
741;600;-9,05;0,5956
742;600;111,80;0,5952
743;600;-5,80;0,5948
744;600;16,75;0,5944
745;509;198,47;0,5939
746;600;-39,95;0,5935
747;600;122,55;0,5931
748;600;-24,10;0,5927
749;204;210,62;0,5923
750;600;-47,85;0,5919
751;272;160,84;0,5914
752;600;26,85;0,5910
753;600;62,15;0,5906
754;600;87,80;0,5902
755;6;-202,55;0,5898
756;600;133,00;0,5894
757;600;-103,35;0,5890
758;600;-104,40;0,5886
759;244;192,27;0,5881
760;499;288,82;0,5877
761;600;50,35;0,5873
762;600;44,10;0,5869
763;600;40,40;0,5865
764;146;280,60;0,5861
765;600;83,15;0,5857
766;177;208,14;0,5853
767;600;45,75;0,5849
768;600;230,35;0,5844
769;600;90,25;0,5840
770;66;221,60;0,5836
771;600;-44,20;0,5832
772;151;252,90;0,5828
773;600;77,45;0,5824
774;210;274,71;0,5820
775;600;128,65;0,5816
776;600;180,00;0,5812
777;600;92,50;0,5808
778;4;-202,43;0,5804
779;600;54,25;0,5800
780;600;44,80;0,5796
781;600;27,80;0,5792
782;600;142,05;0,5787
783;600;108,50;0,5783
784;600;143,95;0,5779
785;69;239,27;0,5775
786;600;69,95;0,5771
787;600;65,35;0,5767
788;600;-107,85;0,5763
789;2;-200,06;0,5759
790;600;64,55;0,5755
791;207;259,64;0,5751
792;148;253,48;0,5747
793;600;31,40;0,5743
794;600;119,20;0,5739
795;600;138,10;0,5735
796;207;209,74;0,5731
797;600;156,80;0,5727
798;600;-0,45;0,5723
799;600;20,80;0,5719
800;180;174,36;0,5715
801;600;30,15;0,5711
802;74;246,12;0,5707
803;378;250,28;0,5703
804;600;223,05;0,5699
805;132;231,84;0,5695
806;89;249,62;0,5691
807;600;162,30;0,5687
808;94;244,27;0,5683
809;369;384,42;0,5679
810;134;224,82;0,5675
811;600;340,80;0,5671
812;312;331,24;0,5667
813;600;92,90;0,5663
814;275;358,96;0,5659
815;600;197,20;0,5655
816;156;354,30;0,5651
817;580;441,26;0,5647
818;600;150,40;0,5643
819;600;84,80;0,5639
820;600;140,10;0,5636
821;600;70,25;0,5632
822;4;-202,43;0,5628
823;555;313,26;0,5624
824;600;40,30;0,5620
825;600;31,60;0,5616
826;412;308,24;0,5612
827;600;21,10;0,5608
828;600;253,60;0,5604
829;600;100,45;0,5600
830;600;152,45;0,5596
831;4;-202,43;0,5592
832;600;136,20;0,5588
833;352;373,84;0,5584
834;600;161,70;0,5581
835;34;252,07;0,5577
836;600;98,60;0,5573
837;222;297,29;0,5569
838;257;239,84;0,5565
839;128;245,63;0,5561
840;600;29,20;0,5557
841;600;176,20;0,5553
842;600;109,15;0,5549
843;22;218,24;0,5545
844;600;131,80;0,5542
845;600;158,75;0,5538
846;600;180,50;0,5534
847;64;228,82;0,5530
848;600;166,55;0,5526
849;600;243,80;0,5522
850;4;-202,43;0,5518
851;600;278,50;0,5514
852;600;167,20;0,5511
853;30;230,56;0,5507
854;600;69,90;0,5503
855;600;49,70;0,5499
856;600;24,85;0,5495
857;600;93,85;0,5491
858;294;240,12;0,5488
859;600;85,95;0,5484
860;89;267,02;0,5480
861;600;48,50;0,5476
862;600;215,85;0,5472
863;600;88,00;0,5468
864;162;305,14;0,5465
865;168;238,88;0,5461
866;350;305,16;0,5457
867;600;18,45;0,5453
868;600;137,60;0,5449
869;600;198,70;0,5445
870;79;249,12;0,5442
871;600;-18,95;0,5438
872;600;227,05;0,5434
873;600;239,10;0,5430
874;600;175,45;0,5426
875;600;180,40;0,5423
876;600;263,85;0,5419
877;600;297,00;0,5415
878;600;206,30;0,5411
879;96;229,35;0,5407
880;600;203,45;0,5404
881;600;135,65;0,5400
882;4;-204,28;0,5396
883;600;67,25;0,5392
884;600;113,70;0,5389
885;184;214,02;0,5385
886;600;305,60;0,5381
887;600;143,85;0,5377
888;600;112,60;0,5373
889;600;110,30;0,5370
890;600;125,55;0,5366
891;4;-202,43;0,5362
892;4;-202,43;0,5358
893;49;221,82;0,5355
894;267;309,34;0,5351
895;54;244,42;0,5347
896;106;240,10;0,5343
897;600;144,65;0,5340
898;600;18,00;0,5336
899;255;237,06;0,5332
900;600;-15,65;0,5328
901;600;5,25;0,5325
902;407;261,24;0,5321
903;600;0,25;0,5317
904;600;43,20;0,5314
905;600;54,50;0,5310
906;74;236,37;0,5306
907;600;263,85;0,5302
908;600;180,15;0,5299
909;4;-202,43;0,5295
910;120;233,66;0,5291
911;600;138,75;0,5288
912;548;351,28;0,5284
913;600;231,55;0,5280
914;600;62,20;0,5277
915;200;301,31;0,5273
916;600;155,15;0,5269
917;65;234,86;0,5265
918;600;170,60;0,5262
919;600;278,80;0,5258
920;600;103,10;0,5254
921;4;-202,43;0,5251
922;600;115,60;0,5247
923;567;238,04;0,5243
924;360;449,16;0,5240
925;4;-202,43;0,5236
926;600;127,05;0,5232
927;270;338,11;0,5229
928;171;261,00;0,5225
929;600;155,85;0,5221
930;600;277,70;0,5218
931;600;77,60;0,5214
932;600;169,45;0,5210
933;600;42,00;0,5207
934;327;328,24;0,5203
935;600;258,80;0,5199
936;4;-202,43;0,5196
937;600;55,80;0,5192
938;215;313,96;0,5189
939;156;226,00;0,5185
940;600;161,60;0,5181
941;600;159,00;0,5178
942;600;71,05;0,5174
943;600;206,60;0,5170
944;600;193,45;0,5167
945;600;137,90;0,5163
946;600;169,10;0,5160
947;52;228,99;0,5156
948;9;-203,18;0,5152
949;600;153,35;0,5149
950;600;382,45;0,5145
951;600;188,40;0,5142
952;600;159,05;0,5138
953;600;184,45;0,5134
954;600;48,45;0,5131
955;600;192,60;0,5127
956;138;243,83;0,5124
957;356;299,65;0,5120
958;600;100,60;0,5116
959;600;236,30;0,5113
960;600;118,20;0,5109
961;600;-13,15;0,5106
962;174;317,67;0,5102
963;91;220,40;0,5099
964;600;331,75;0,5095
965;600;250,85;0,5091
966;600;119,45;0,5088
967;600;276,45;0,5084
968;2;-200,06;0,5081
969;600;125,75;0,5077
970;600;173,40;0,5074
971;600;324,90;0,5070
972;600;297,20;0,5066
973;110;220,41;0,5063
974;600;184,30;0,5059
975;600;180,75;0,5056
976;116;264,20;0,5052
977;94;221,52;0,5049
978;600;77,90;0,5045
979;2;-200,51;0,5042
980;600;199,30;0,5038
981;600;205,60;0,5035
982;600;100,15;0,5031
983;600;270,40;0,5028
984;600;234,65;0,5024
985;600;128,85;0,5021
986;296;271,60;0,5017
987;600;-2,00;0,5014
988;90;250,16;0,5010
989;600;22,45;0,5007
990;600;118,85;0,5003
991;600;74,00;0,5000
992;600;159,00;0,4996
993;600;161,45;0,4993
994;600;132,15;0,4989
995;600;216,40;0,4986
996;600;263,25;0,4982
997;600;239,55;0,4979
998;600;123,10;0,4975
999;99;263,22;0,4972
1000;600;205,90;0,4968
1001;600;320,90;0,4965
1002;600;115,65;0,4961
1003;450;308,36;0,4958
1004;600;130,00;0,4954
1005;600;27,60;0,4951
1006;8;-203,57;0,4947
1007;600;164,20;0,4944
1008;600;222,10;0,4940
1009;600;159,30;0,4937
1010;72;250,04;0,4933
1011;600;150,45;0,4930
1012;600;143,35;0,4927
1013;600;136,70;0,4923
1014;600;301,40;0,4920
1015;600;51,45;0,4916
1016;600;-1,55;0,4913
1017;206;258,00;0,4909
1018;600;119,35;0,4906
1019;600;156,70;0,4902
1020;5;-202,94;0,4899
1021;600;62,35;0,4896
1022;600;87,15;0,4892
1023;600;168,40;0,4889
1024;600;98,75;0,4885
1025;600;81,10;0,4882
1026;600;183,20;0,4878
1027;600;75,70;0,4875
1028;4;-202,43;0,4872
1029;7;-203,06;0,4868
1030;600;121,30;0,4865
1031;600;117,10;0,4861
1032;44;223,17;0,4858
1033;600;176,85;0,4855
1034;600;11,70;0,4851
1035;324;198,27;0,4848
1036;120;239,56;0,4844
1037;600;103,10;0,4841
1038;384;395,22;0,4838
1039;172;259,34;0,4834
1040;4;-202,43;0,4831
1041;600;209,80;0,4828
