Episode;Outcome;DeathType;Phase;Steps;TotalReward;Epsilon;ExplorationRate;WallsInitial;WallsBroken;BombsDropped;SafetyDangerSteps
79;DEATH;Suicide;3;8;-291,52;0,9249;1,00;9;2;1;2
80;DEATH;Suicide;3;19;-304,68;0,9240;1,00;11;1;1;2
81;DEATH;Suicide;3;4;-302,38;0,9231;1,00;11;0;1;2
82;DEATH;Suicide;3;6;-295,55;0,9222;0,83;10;1;1;2
83;DEATH;Suicide;3;9;-303,58;0,9212;0,78;11;1;1;2
84;DEATH;Suicide;3;17;-305,71;0,9203;0,82;11;0;2;4
85;DEATH;Suicide;3;11;-296,30;0,9194;0,82;10;2;2;2
86;DEATH;Suicide;3;5;-302,49;0,9185;1,00;7;0;1;2
87;DEATH;Suicide;3;5;-302,44;0,9176;0,80;7;0;1;2
88;DEATH;Suicide;3;9;-293,73;0,9166;0,89;16;2;2;4
89;DEATH;Suicide;3;12;-304,26;0,9157;0,92;10;0;1;2
90;DEATH;Suicide;3;8;-303,07;0,9148;0,88;11;0;1;2
91;DEATH;Suicide;3;4;-302,38;0,9139;1,00;10;0;1;2
92;DEATH;Suicide;3;6;-302,95;0,9130;1,00;15;0;1;2
93;DEATH;Suicide;3;5;-295,44;0,9121;0,60;10;1;2;2
94;DEATH;Suicide;3;4;-302,38;0,9112;1,00;12;0;1;2
95;DEATH;Suicide;3;5;-302,39;0,9102;1,00;13;0;1;2
96;DEATH;Suicide;3;4;-302,33;0,9093;0,75;14;0;1;2
97;DEATH;Suicide;3;4;-302,38;0,9084;1,00;8;0;2;2
98;DEATH;Suicide;3;7;-302,56;0,9075;1,00;7;0;1;2
99;DEATH;Suicide;3;9;-303,53;0,9066;1,00;9;1;1;2
100;DEATH;Suicide;3;14;-299,53;0,9057;0,86;8;2;2;4
101;DEATH;Suicide;3;8;-303,52;0,9048;1,00;10;0;1;2
102;DEATH;Suicide;3;7;-295,51;0,9039;0,86;10;1;1;2
103;DEATH;Suicide;3;6;-296,00;0,9030;1,00;12;1;1;2
104;DEATH;Suicide;3;4;-302,43;0,9021;1,00;13;0;2;2
105;DEATH;Suicide;3;16;-299,65;0,9012;0,94;13;3;2;4
106;DEATH;Suicide;3;5;-295,49;0,9003;0,80;11;1;1;2
107;DEATH;Suicide;3;22;-308,26;0,8994;0,86;15;1;1;2
108;DEATH;Suicide;3;8;-303,07;0,8985;0,88;12;0;1;2
109;DEATH;Suicide;3;4;-302,38;0,8976;1,00;17;0;1;2
110;DEATH;Suicide;3;4;-302,43;0,8967;1,00;12;0;1;2
111;DEATH;Suicide;3;5;-302,89;0,8958;1,00;18;0;2;2
112;DEATH;Suicide;3;4;-302,38;0,8949;0,75;12;0;1;2
113;DEATH;Suicide;3;7;-295,51;0,8940;0,71;13;1;2;2
114;DEATH;Suicide;3;15;-296,94;0,8931;0,87;15;2;2;2
115;DEATH;Suicide;3;9;-303,18;0,8922;0,78;11;0;1;2
116;DEATH;Suicide;3;5;-302,44;0,8913;0,80;10;0;1;2
117;DEATH;Suicide;3;9;-296,63;0,8904;1,00;8;1;1;2
118;DEATH;Suicide;3;6;-290,50;0,8895;0,83;13;2;1;2
119;DEATH;Suicide;3;4;-302,38;0,8886;0,75;12;0;1;2
120;DEATH;Suicide;3;5;-302,44;0,8878;0,80;9;0;2;2
121;DEATH;Suicide;3;5;-295,49;0,8869;0,80;13;1;1;2
122;DEATH;Suicide;3;7;-296,46;0,8860;0,86;10;1;1;2
123;DEATH;Suicide;3;10;-297,09;0,8851;0,90;11;2;1;2
124;DEATH;Suicide;3;4;-302,38;0,8842;1,00;10;0;1;2
125;DEATH;Suicide;3;16;-304,95;0,8833;0,81;14;2;2;2
126;DEATH;Suicide;3;4;-302,38;0,8824;1,00;10;0;2;2
127;DEATH;Suicide;3;5;-302,94;0,8816;1,00;13;0;1;2
128;DEATH;Suicide;3;10;-304,59;0,8807;0,90;12;2;1;2
129;DEATH;Suicide;3;10;-302,74;0,8798;1,00;15;1;1;2
130;DEATH;Suicide;3;12;-304,76;0,8789;1,00;10;2;1;2
131;DEATH;Suicide;3;15;-304,99;0,8780;0,87;12;1;2;2
132;DEATH;Suicide;3;9;-303,13;0,8772;0,78;12;1;1;2
133;DEATH;Suicide;3;7;-303,06;0,8763;1,00;11;0;1;2
134;DEATH;Suicide;3;4;-302,38;0,8754;0,75;12;0;1;2
135;DEATH;Suicide;3;9;-303,18;0,8745;0,89;12;1;1;2
136;DEATH;Suicide;3;4;-302,38;0,8737;0,75;14;0;1;2
137;DEATH;Suicide;3;5;-302,44;0,8728;0,80;9;0;1;2
138;DEATH;Suicide;3;14;-297,73;0,8719;1,00;10;2;2;2
139;DEATH;Suicide;3;9;-304,83;0,8710;0,89;9;0;2;4
140;DEATH;Suicide;3;13;-305,52;0,8702;0,85;11;0;2;4
141;DEATH;Suicide;3;7;-296,46;0,8693;1,00;12;1;2;2
142;DEATH;Suicide;3;16;-307,50;0,8684;0,81;12;2;3;4
143;DEATH;Suicide;3;7;-303,06;0,8676;1,00;7;0;1;2
144;DEATH;Suicide;3;17;-300,11;0,8667;0,94;10;2;3;4
145;DEATH;Suicide;3;12;-299,36;0,8658;0,67;14;3;2;4
146;DEATH;Suicide;3;7;-303,06;0,8650;1,00;16;0;1;2
147;DEATH;Suicide;3;4;-302,38;0,8641;1,00;15;0;2;2
148;DEATH;Suicide;3;6;-302,50;0,8632;0,67;9;0;1;2
149;DEATH;Suicide;3;15;-300,44;0,8624;0,87;14;2;2;4
150;DEATH;Suicide;3;10;-298,34;0,8615;0,80;10;1;2;4
151;DEATH;Suicide;3;5;-302,49;0,8606;0,60;13;0;1;2
152;DEATH;Suicide;3;5;-302,44;0,8598;0,80;11;0;1;2
153;DEATH;Suicide;3;16;-306,35;0,8589;0,94;12;1;1;2
154;DEATH;Suicide;3;14;-304,38;0,8581;1,00;14;1;1;2
155;DEATH;Suicide;3;5;-302,44;0,8572;0,80;12;0;2;2
156;DEATH;Suicide;3;4;-302,43;0,8564;0,75;13;0;1;2
157;DEATH;Suicide;3;4;-302,43;0,8555;1,00;11;0;1;2
158;DEATH;Suicide;3;11;-296,65;0,8546;0,91;16;2;2;2
159;DEATH;Suicide;3;7;-296,46;0,8538;1,00;9;1;1;2
160;DEATH;Suicide;3;4;-302,38;0,8529;1,00;10;0;1;2
161;DEATH;Suicide;3;11;-303,20;0,8521;0,91;15;1;2;2
162;DEATH;Suicide;3;16;-285,20;0,8512;0,69;11;5;3;6
163;DEATH;Suicide;3;10;-303,64;0,8504;0,80;11;0;1;2
164;DEATH;Suicide;3;12;-305,51;0,8495;0,92;14;0;2;4
165;DEATH;Suicide;3;6;-295,90;0,8487;1,00;9;1;2;2
166;DEATH;Suicide;3;7;-303,46;0,8478;0,71;9;0;1;2
167;DEATH;Suicide;3;6;-302,45;0,8470;1,00;7;0;1;2
168;DEATH;Suicide;3;18;-300,37;0,8461;0,94;13;3;2;2
169;DEATH;Suicide;3;13;-297,27;0,8453;1,00;14;2;1;2
170;DEATH;Suicide;3;5;-302,39;0,8444;0,80;9;0;1;2
171;DEATH;Suicide;3;20;-305,94;0,8436;0,85;9;0;2;4
172;DEATH;Suicide;3;6;-295,90;0,8428;0,83;13;1;2;2
173;DEATH;Suicide;3;4;-302,38;0,8419;1,00;13;0;1;2
174;DEATH;Suicide;3;5;-302,44;0,8411;0,20;12;0;1;2
175;DEATH;Suicide;3;12;-298,21;0,8402;0,67;15;3;1;2
176;DEATH;Suicide;3;4;-302,38;0,8394;0,75;12;0;2;2
177;DEATH;Suicide;3;4;-302,43;0,8385;0,50;13;0;1;2
178;DEATH;Suicide;3;4;-302,38;0,8377;1,00;10;0;1;2
179;DEATH;Suicide;3;10;-296,19;0,8369;0,90;12;1;1;2
180;DEATH;Suicide;3;4;-302,38;0,8360;0,75;14;0;1;2
181;DEATH;Suicide;3;5;-295,44;0,8352;0,80;14;1;2;2
182;DEATH;Suicide;3;6;-303,45;0,8344;0,83;11;0;1;2
183;DEATH;Suicide;3;4;-302,38;0,8335;1,00;13;0;1;2
184;DEATH;Suicide;3;5;-302,84;0,8327;0,80;12;0;2;2
185;DEATH;Suicide;3;4;-302,43;0,8319;0,75;11;0;2;2
186;DEATH;Suicide;3;4;-302,38;0,8310;1,00;9;0;1;2
187;DEATH;Suicide;3;7;-302,96;0,8302;0,86;11;0;1;2
188;DEATH;Suicide;3;11;-303,70;0,8294;0,82;12;0;2;2
189;DEATH;Suicide;3;9;-297,43;0,8285;1,00;13;2;1;2
190;DEATH;Suicide;3;9;-296,58;0,8277;0,78;11;2;1;2
191;DEATH;Suicide;3;8;-302,62;0,8269;1,00;12;0;1;2
192;DEATH;Suicide;3;4;-302,38;0,8261;1,00;9;0;1;2
193;DEATH;Suicide;3;5;-295,39;0,8252;0,80;10;1;1;2
194;DEATH;Suicide;3;8;-297,72;0,8244;0,75;11;1;2;4
195;DEATH;Suicide;3;5;-302,89;0,8236;0,80;14;0;1;2
196;DEATH;Suicide;3;7;-295,56;0,8228;0,86;15;1;1;2
197;DEATH;Suicide;3;6;-302,45;0,8219;1,00;10;0;1;2
198;DEATH;Suicide;3;10;-304,49;0,8211;0,70;13;0;2;2
199;DEATH;Suicide;3;5;-295,39;0,8203;0,80;7;1;2;2
200;DEATH;Suicide;3;4;-302,43;0,8195;0,50;11;0;2;2
201;DEATH;Suicide;3;4;-302,38;0,8187;1,00;12;0;1;2
202;DEATH;Suicide;3;4;-302,33;0,8178;1,00;12;0;1;2
203;DEATH;Suicide;3;4;-302,38;0,8170;0,75;12;0;2;2
204;DEATH;Suicide;3;4;-302,43;0,8162;0,50;7;0;2;2
205;DEATH;Suicide;3;5;-302,49;0,8154;1,00;9;0;2;2
206;DEATH;Suicide;3;6;-303,00;0,8146;1,00;17;0;1;2
207;DEATH;Suicide;3;10;-303,19;0,8138;0,70;13;0;1;2
208;DEATH;Suicide;3;5;-302,39;0,8129;1,00;10;0;1;2
209;DEATH;Suicide;3;5;-302,44;0,8121;0,80;12;0;1;2
210;DEATH;Suicide;3;4;-302,43;0,8113;1,00;9;0;1;2
211;DEATH;Suicide;3;4;-302,43;0,8105;0,75;8;0;1;2
212;DEATH;Suicide;3;11;-305,85;0,8097;0,64;9;0;2;4
213;DEATH;Suicide;3;4;-302,38;0,8089;0,50;10;0;2;2
214;DEATH;Suicide;3;9;-291,98;0,8081;1,00;11;3;1;2
215;DEATH;Suicide;3;16;-299,10;0,8073;0,81;15;2;2;4
216;DEATH;Suicide;3;6;-295,95;0,8065;1,00;15;1;1;2
217;DEATH;Suicide;3;12;-295,21;0,8057;0,83;12;3;3;6
218;DEATH;Suicide;3;21;-303,40;0,8048;0,76;9;3;3;6
219;DEATH;Suicide;3;4;-302,38;0,8040;1,00;15;0;1;2
220;DEATH;Suicide;3;4;-302,43;0,8032;1,00;13;0;1;2
221;DEATH;Suicide;3;6;-302,50;0,8024;1,00;12;0;1;2
222;DEATH;Suicide;3;4;-302,38;0,8016;0,75;11;0;1;2
223;DEATH;Suicide;3;4;-302,43;0,8008;1,00;15;0;1;2
224;DEATH;Suicide;3;9;-304,08;0,8000;0,89;9;0;2;2
225;DEATH;Suicide;3;4;-302,43;0,7992;0,50;11;0;1;2
226;DEATH;Suicide;3;4;-302,43;0,7984;0,50;9;0;2;2
227;DEATH;Suicide;3;10;-298,29;0,7976;0,90;10;3;1;2
228;DEATH;Suicide;3;4;-302,43;0,7968;0,75;10;0;1;2
229;DEATH;Suicide;3;4;-302,38;0,7960;0,75;12;0;2;2
230;DEATH;Suicide;3;6;-302,50;0,7952;1,00;16;0;1;2
231;DEATH;Suicide;3;20;-307,74;0,7944;0,80;12;3;2;4
232;DEATH;Suicide;3;4;-302,43;0,7937;1,00;12;0;1;2
233;DEATH;Suicide;3;6;-302,95;0,7929;0,67;12;0;1;2
234;DEATH;Suicide;3;5;-302,44;0,7921;0,80;16;0;1;2
235;DEATH;Suicide;3;5;-302,89;0,7913;1,00;14;0;1;2
236;DEATH;Suicide;3;4;-302,33;0,7905;0,50;10;0;1;2
237;DEATH;Suicide;3;4;-302,43;0,7897;1,00;11;0;1;2
238;DEATH;Suicide;3;4;-302,38;0,7889;0,75;9;0;1;2
239;DEATH;Suicide;3;8;-304,77;0,7881;1,00;9;0;2;4
240;DEATH;Suicide;3;8;-303,52;0,7873;1,00;11;0;1;2
241;DEATH;Suicide;3;10;-303,19;0,7865;0,90;10;0;1;2
242;DEATH;Suicide;3;8;-296,02;0,7857;0,75;15;1;2;2
243;DEATH;Suicide;3;5;-295,39;0,7850;0,60;13;1;1;2
244;DEATH;Suicide;3;4;-302,43;0,7842;1,00;13;0;1;2
245;DEATH;Suicide;3;12;-297,21;0,7834;0,92;10;2;1;2
246;DEATH;Suicide;3;6;-302,50;0,7826;1,00;14;0;1;2
247;DEATH;Suicide;3;12;-298,86;0,7818;0,83;7;2;2;4
248;DEATH;Suicide;3;4;-302,43;0,7810;0,75;12;0;1;2
249;DEATH;Suicide;3;7;-297,71;0,7803;0,57;6;1;2;4
250;DEATH;Suicide;3;5;-295,44;0,7795;0,60;9;1;2;2
251;DEATH;Suicide;3;9;-303,63;0,7787;0,67;14;0;2;2
252;DEATH;Suicide;3;6;-302,55;0,7779;1,00;10;0;1;2
253;DEATH;Suicide;3;4;-302,38;0,7771;1,00;15;0;1;2
254;DEATH;Suicide;3;5;-295,44;0,7764;0,80;12;1;2;2
255;DEATH;Suicide;3;4;-302,38;0,7756;1,00;15;0;1;2
256;DEATH;Suicide;3;7;-303,91;0,7748;0,86;11;0;2;2
257;DEATH;Suicide;3;4;-302,38;0,7740;0,50;13;0;1;2
258;DEATH;Suicide;3;5;-302,49;0,7733;0,80;12;0;1;2
259;DEATH;Suicide;3;9;-291,13;0,7725;1,00;12;3;1;2
260;DEATH;Suicide;3;4;-302,38;0,7717;0,75;14;0;1;2
261;DEATH;Suicide;3;8;-303,52;0,7710;0,88;8;0;1;2
262;DEATH;Suicide;3;5;-295,44;0,7702;1,00;10;1;1;2
263;DEATH;Suicide;3;4;-302,38;0,7694;0,50;14;0;1;2
264;DEATH;Suicide;3;4;-302,43;0,7686;1,00;11;0;1;2
265;DEATH;Suicide;3;10;-304,84;0,7679;0,80;14;0;2;4
266;DEATH;Suicide;3;4;-302,43;0,7671;0,50;12;0;2;2
267;DEATH;Suicide;3;5;-302,44;0,7663;0,60;13;0;1;2
268;DEATH;Suicide;3;7;-303,51;0,7656;0,71;14;0;2;2
269;DEATH;Suicide;3;10;-304,89;0,7648;0,80;11;1;3;4
270;DEATH;Suicide;3;6;-302,55;0,7640;1,00;7;0;2;2
271;DEATH;Suicide;3;4;-302,38;0,7633;0,75;13;0;2;2
272;DEATH;Suicide;3;5;-295,44;0,7625;0,80;10;1;1;2
273;DEATH;Suicide;3;6;-295,90;0,7618;0,67;14;1;1;2
274;DEATH;Suicide;3;4;-302,33;0,7610;0,75;9;0;2;2
275;DEATH;Suicide;3;5;-295,44;0,7602;0,60;12;1;1;2
276;DEATH;Suicide;3;7;-303,06;0,7595;1,00;10;0;1;2
277;DEATH;Suicide;3;5;-302,84;0,7587;1,00;16;0;1;2
278;DEATH;Suicide;3;5;-295,39;0,7580;0,80;17;1;1;2
279;DEATH;Suicide;3;6;-302,55;0,7572;0,67;12;0;2;2
280;DEATH;Suicide;3;4;-302,38;0,7564;1,00;13;0;2;2
281;DEATH;Suicide;3;13;-304,72;0,7557;0,85;10;0;2;2
282;DEATH;Suicide;3;10;-286,39;0,7549;0,80;15;3;3;4
283;DEATH;Suicide;3;24;-295,48;0,7542;0,83;14;4;5;10
284;DEATH;Suicide;3;8;-296,07;0,7534;1,00;16;1;1;2
285;DEATH;Suicide;3;6;-302,90;0,7527;0,83;13;0;1;2
286;DEATH;Suicide;3;5;-295,44;0,7519;0,60;17;1;2;2
287;DEATH;Suicide;3;9;-303,58;0,7512;0,78;11;0;2;2
288;DEATH;Suicide;3;4;-302,33;0,7504;0,75;10;0;1;2
289;DEATH;Suicide;3;22;-289,76;0,7497;0,68;10;5;4;8
290;DEATH;Suicide;3;4;-302,43;0,7489;1,00;13;0;1;2
291;DEATH;Suicide;3;4;-302,38;0,7482;0,75;7;0;1;2
292;DEATH;Suicide;3;4;-302,38;0,7474;0,75;10;0;1;2
293;DEATH;Suicide;3;5;-295,39;0,7467;0,60;10;1;1;2
294;DEATH;Suicide;3;4;-302,38;0,7459;0,75;9;0;2;2
295;DEATH;Suicide;3;5;-295,39;0,7452;0,40;14;1;2;2
296;DEATH;Suicide;3;7;-303,01;0,7444;1,00;12;0;1;2
297;DEATH;Suicide;3;12;-291,41;0,7437;0,83;10;3;2;4
298;DEATH;Suicide;3;4;-302,38;0,7429;0,75;12;0;1;2
299;DEATH;Suicide;3;5;-295,44;0,7422;1,00;11;1;1;2
300;DEATH;Suicide;3;4;-302,38;0,7415;0,75;8;0;1;2
301;DEATH;Suicide;3;4;-302,38;0,7407;0,75;8;0;1;2
302;DEATH;Suicide;3;11;-303,25;0,7400;0,82;12;1;2;2
303;DEATH;Suicide;3;4;-302,38;0,7392;0,75;14;0;2;2
304;DEATH;Suicide;3;7;-295,56;0,7385;0,71;14;1;1;2
305;DEATH;Suicide;3;4;-302,43;0,7378;1,00;15;0;1;2
306;DEATH;Suicide;3;4;-302,38;0,7370;0,50;12;0;1;2
307;DEATH;Suicide;3;8;-296,02;0,7363;0,75;15;1;2;2
308;DEATH;Suicide;3;5;-295,39;0,7355;0,40;10;1;2;2
309;DEATH;Suicide;3;4;-302,43;0,7348;0,50;9;0;1;2
310;DEATH;Suicide;3;4;-302,38;0,7341;0,75;13;0;1;2
311;DEATH;Suicide;3;6;-302,55;0,7333;0,67;11;0;2;2
312;DEATH;Suicide;3;4;-302,38;0,7326;0,75;14;0;1;2
313;DEATH;Suicide;3;5;-302,89;0,7319;1,00;11;0;1;2
314;DEATH;Suicide;3;5;-302,94;0,7311;0,40;11;0;2;2
315;DEATH;Suicide;3;13;-300,67;0,7304;0,69;12;1;3;6
316;DEATH;Suicide;3;9;-305,28;0,7297;0,56;11;0;2;4
317;DEATH;Suicide;3;4;-302,38;0,7289;0,75;10;0;1;2
318;DEATH;Suicide;3;4;-302,33;0,7282;0,75;10;0;2;2
319;DEATH;Suicide;3;5;-302,89;0,7275;0,60;19;0;2;2
320;DEATH;Suicide;3;4;-302,43;0,7268;0,75;9;0;1;2
321;DEATH;Suicide;3;5;-295,39;0,7260;0,80;12;1;1;2
322;DEATH;Suicide;3;14;-293,33;0,7253;0,50;14;3;4;6
323;DEATH;Suicide;3;5;-302,94;0,7246;0,60;11;0;2;2
324;DEATH;Suicide;3;4;-302,38;0,7239;0,50;12;0;1;2
325;DEATH;Suicide;3;4;-302,38;0,7231;0,75;11;0;1;2
326;DEATH;Suicide;3;4;-302,38;0,7224;0,75;9;0;2;2
327;DEATH;Suicide;3;8;-290,82;0,7217;0,50;13;2;2;4
328;DEATH;Suicide;3;6;-290,45;0,7210;0,67;13;2;1;2
329;DEATH;Suicide;3;12;-305,51;0,7202;0,67;9;1;3;4
330;DEATH;Suicide;3;7;-297,76;0,7195;0,86;9;1;2;4
331;DEATH;Suicide;3;4;-302,38;0,7188;0,50;15;0;2;2
332;DEATH;Suicide;3;4;-302,38;0,7181;0,75;12;0;2;2
333;DEATH;Suicide;3;4;-302,38;0,7174;0,50;10;0;1;2
334;DEATH;Suicide;3;5;-302,89;0,7167;1,00;8;0;1;2
335;DEATH;Suicide;3;5;-295,49;0,7159;0,60;10;1;1;2
336;DEATH;Suicide;3;5;-302,94;0,7152;1,00;14;0;1;2
337;DEATH;Suicide;3;5;-302,89;0,7145;0,60;14;0;1;2
338;DEATH;Suicide;3;8;-303,07;0,7138;0,63;11;0;2;2
339;DEATH;Suicide;3;11;-297,15;0,7131;0,64;14;2;1;2
340;DEATH;Suicide;3;4;-302,38;0,7124;0,25;15;0;1;2
341;DEATH;Suicide;3;9;-296,58;0,7117;1,00;15;2;1;2
342;DEATH;Suicide;3;5;-295,39;0,7109;0,60;16;1;2;2
343;DEATH;Suicide;3;4;-302,43;0,7102;1,00;12;0;1;2
344;DEATH;Suicide;3;4;-302,38;0,7095;1,00;12;0;1;2
345;DEATH;Suicide;3;4;-302,38;0,7088;0,25;12;0;2;2
346;DEATH;Suicide;3;9;-303,08;0,7081;0,67;14;1;2;2
347;DEATH;Suicide;3;4;-302,33;0,7074;0,75;10;0;1;2
348;DEATH;Suicide;3;13;-299,42;0,7067;0,77;15;2;3;4
349;DEATH;Suicide;3;4;-302,38;0,7060;0,50;6;0;1;2
350;DEATH;Suicide;3;11;-299,25;0,7053;0,64;11;2;3;4
351;DEATH;Suicide;3;4;-302,38;0,7046;1,00;11;0;1;2
352;DEATH;Suicide;3;4;-302,38;0,7039;1,00;10;0;1;2
353;DEATH;Suicide;3;9;-298,73;0,7032;0,78;13;1;2;4
354;DEATH;Suicide;3;5;-295,44;0,7025;0,80;12;1;2;2
355;DEATH;Suicide;3;24;-303,98;0,7018;0,67;17;3;5;8
356;DEATH;Suicide;3;4;-302,43;0,7011;0,75;11;0;2;2
357;DEATH;Suicide;3;10;-303,59;0,7004;0,70;14;2;1;2
358;DEATH;Suicide;3;4;-302,38;0,6997;0,50;12;0;1;2
359;DEATH;Suicide;3;8;-303,52;0,6990;0,75;10;0;2;2
360;DEATH;Suicide;3;4;-302,43;0,6983;0,50;8;0;1;2
361;DEATH;Suicide;3;5;-295,44;0,6976;0,80;10;1;1;2
362;DEATH;Suicide;3;7;-296,01;0,6969;0,71;13;1;1;2
363;DEATH;Suicide;3;5;-295,39;0,6962;0,60;13;1;2;2
364;DEATH;Suicide;3;5;-295,44;0,6955;0,60;13;1;1;2
